,journal_name,frequency
880,African journal of laboratory medicine,1
881,ACS pharmacology &amp; translational science,1
882,Animal microbiome,1
883,Particle and fibre toxicology,1
884,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",1
885,ACS applied nano materials,1
886,Bioactive materials,2
887,Oecologia,1
888,Nature aging,1
889,United European gastroenterology journal,1
890,Signal transduction and targeted therapy,6
891,Protein &amp; cell,1
892,European journal of human genetics : EJHG,1
893,JID innovations : skin science from molecules to population health,1
894,Current research in pharmacology and drug discovery,1
895,eNeuro,6
896,"Small (Weinheim an der Bergstrasse, Germany)",1
897,Experimental and therapeutic medicine,1
898,Oncology reports,1
899,Integrative and comparative biology,1
900,Infection and drug resistance,1
901,Biology direct,1
902,Cellular and molecular bioengineering,1
903,International journal of cardiology,2
904,Advanced healthcare materials,2
905,Acta naturae,1
906,Toxics,3
907,Cell proliferation,1
908,Journal of hepatocellular carcinoma,1
909,Non-coding RNA,1
910,Chemistry &amp; biology,2
911,Animal science journal = Nihon chikusan Gakkaiho,1
912,"Acta crystallographica. Section D, Structural biology",1
913,Archives of virology,1
914,Acta parasitologica,1
915,"American journal of physiology. Regulatory, integrative and comparative physiology",2
916,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2
917,"Diagnostics (Basel, Switzerland)",2
918,Acta pharmaceutica Sinica. B,1
919,"Diabetes, metabolic syndrome and obesity : targets and therapy",1
920,"Pharmaceuticals (Basel, Switzerland)",2
921,Journal of hematology &amp; oncology,1
922,Plant cell reports,1
923,Respiratory research,2
924,Journal of enzyme inhibition and medicinal chemistry,1
925,Neonatology,1
926,Toxicon: X,1
927,Journal of immunology research,1
928,World journal of urology,1
929,Bone reports,1
930,RSC advances,1
931,Interface focus,1
932,Spinal cord,1
933,Journal of neurovirology,1
934,"Cancer reports (Hoboken, N.J.)",1
935,"Clinical, cosmetic and investigational dermatology",1
936,"Cancer communications (London, England)",3
937,Poultry science,1
938,Food chemistry. Molecular sciences,1
939,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1
940,Frontiers in psychiatry,2
941,Naunyn-Schmiedeberg's archives of pharmacology,1
942,Frontiers in allergy,2
943,Endocrine connections,1
944,"Molecular medicine (Cambridge, Mass.)",1
945,Journal of basic microbiology,1
946,Global spine journal,1
947,Journal of molecular histology,1
948,Current issues in molecular biology,4
949,Cartilage,1
950,"European journal of cancer (Oxford, England : 1990)",1
951,International journal of biological sciences,3
952,European archives of psychiatry and clinical neuroscience,1
953,Biomaterials science,1
954,Circulatory shock,1
955,Tree physiology,2
956,Neurotoxicology,1
957,Journal of Zhejiang University. Science. B,1
958,International journal of mass spectrometry,1
959,"European journal of pain (London, England)",1
960,Molecular therapy : the journal of the American Society of Gene Therapy,5
961,NPJ precision oncology,2
962,Developmental neuroscience,2
963,Transplant international : official journal of the European Society for Organ Transplantation,1
964,"Experimental biology and medicine (Maywood, N.J.)",2
965,Research in veterinary science,1
966,The Lancet. Digital health,1
967,Fluids and barriers of the CNS,1
968,"Journal of neural transmission (Vienna, Austria : 1996)",2
969,"Multiple sclerosis (Houndmills, Basingstoke, England)",2
970,Virologica Sinica,1
971,Water research,1
972,"Journal of molecular medicine (Berlin, Germany)",2
973,Brain sciences,1
974,Cellular and molecular gastroenterology and hepatology,2
975,Animal nutrition (Zhongguo xu mu shou yi xue hui),1
976,Frontiers in integrative neuroscience,1
977,Journal of inflammation research,2
978,Journal of affective disorders,1
979,Journal of proteins and proteomics,1
980,Stress biology,1
981,Mikrochimica acta,1
982,Nanoscale,1
983,Annals of hematology,1
984,Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis,1
985,Infectious diseases of poverty,1
986,"PHAGE (New Rochelle, N.Y.)",1
987,"Research (Washington, D.C.)",1
988,Pediatric pulmonology,1
989,Inflammation and regeneration,1
990,NPJ systems biology and applications,1
991,"Arkhiv anatomii, gistologii i embriologii",1
992,Biomaterials research,1
993,European journal of medicinal chemistry,2
994,Clinical rheumatology,2
995,Fish physiology and biochemistry,1
996,Cancer diagnosis &amp; prognosis,1
997,Journal of cancer research and clinical oncology,1
998,Blood cancer discovery,1
999,American journal of respiratory and critical care medicine,1
1000,Journal of viral hepatitis,1
1001,Bio-protocol,1
1002,microLife,1
1003,Annals of botany,1
1004,PNAS nexus,1
1005,Chinese medical journal,1
1006,Journal of animal science and biotechnology,1
1007,Extracellular vesicle,1
1008,"Microbial cell (Graz, Austria)",1
1009,BMC complementary medicine and therapies,1
1010,Brain communications,1
1011,Skin health and disease,1
1012,Cancer research communications,1
1013,Frontiers in genome editing,1
1014,American journal of cancer research,1
1015,Toxicology reports,1
1016,"Journal of inflammation (London, England)",1
1017,Biotechnology for biofuels and bioproducts,2
1018,Experimental neurology,1
1019,Journal of functional biomaterials,1
1020,Clinical and translational science,1
1021,Journal of biomedical materials research. Part A,1
1022,Immunologic research,1
1023,"Gels (Basel, Switzerland)",2
1024,BMC nephrology,1
1025,Insects,2
